Feature,Mean_Importance,Std_Importance,CI_Lower,CI_Upper,Significant
START_DISTRICT_Eastern,0.00386562685147641,0.00032257923771069306,0.0032507820522254217,0.004436188742646679,True
END_DISTRICT_Wan Chai,0.0035370443046753887,0.0003589842834494213,0.0029332135353260925,0.004333135463898139,True
END_DISTRICT_Central & Western,0.0031435380413481705,0.00038259753145973525,0.0025370431473361195,0.0039399355897430455,True
END_DISTRICT_Tuen Mun,0.0028438509132471773,0.00027721334673845084,0.0023305412363395037,0.003325995206285059,True
END_DISTRICT_Tsuen Wan,0.002671156925759604,0.00026305620243216685,0.0022266513925234847,0.0031912208893978052,True
START_DISTRICT_Tuen Mun,0.0026402124556730274,0.00026675926099049976,0.0021431803971861457,0.0032941933731289786,True
START_DISTRICT_Sha Tin,0.0026110810474306387,0.0002635780069057527,0.0021399099167330763,0.003127023247180621,True
END_DISTRICT_Eastern,0.002594623376300711,0.00023150435715218093,0.0021825443550978216,0.0030055561774984174,True
END_DISTRICT_Sha Tin,0.0025711214557240774,0.00030171632287734194,0.0020508024527503247,0.003242631763514467,True
START_DISTRICT_Yuen Long,0.0023317723173186897,0.0002704814930935511,0.001846759181328833,0.0029143403305998345,True
START_DISTRICT_Kwai Tsing,0.0021337057889840257,0.00015121199224311672,0.0018412349118901218,0.0024154495299982897,True
START_DISTRICT_Tai Po,0.0021122713190166423,0.00022128351626303684,0.001682775313101468,0.002571516092230373,True
END_DISTRICT_Tai Po,0.0019440110679529727,0.00022576985087218118,0.001546065838193558,0.002344041578286771,True
START_DISTRICT_Yau Tsim Mong,0.001932872929197488,0.00020308067470733952,0.0015606632699678596,0.0023118726386951744,True
START_DISTRICT_Kwun Tong,0.0019056275200082411,0.0002511714734354799,0.001473373176474185,0.002418363140471899,True
END_DISTRICT_Kwai Tsing,0.001820956996055896,0.0001591714868853491,0.0015382400120539943,0.002134777111587153,True
END_DISTRICT_Yuen Long,0.0018187750581092899,0.0002279850042574859,0.001408037531217632,0.002273030440338261,True
END_DISTRICT_Yau Tsim Mong,0.001773391414583465,0.00023256291615545276,0.0014121126346415542,0.0022739042029847746,True
START_DISTRICT_North,0.0017493464511469873,0.00020638541193062287,0.0013777677543237272,0.0021243834472700358,True
END_DISTRICT_North,0.0017282595964556616,0.0001865672494967217,0.0014099668927198127,0.002111672682970436,True
START_DISTRICT_Sai Kung,0.0017085302354671412,0.0001444148630535272,0.0014574126636786584,0.0019586663626631226,True
END_DISTRICT_Sai Kung,0.0016833581600271214,0.00021485882318964133,0.0013292651691216018,0.002105229816780743,True
END_DISTRICT_Kowloon City,0.0013676574104998706,0.0001326756970438651,0.0011057893912367726,0.0016106330021894329,True
END_DISTRICT_Kwun Tong,0.0012240845066420114,0.00016586779540472173,0.0009144960618350295,0.0016062434457210224,True
START_DISTRICT_Tsuen Wan,0.0012015021517273448,0.00011523662150827955,0.0009810219358495778,0.0014157111739955823,True
START_DISTRICT_Kowloon City,0.0011749526265462907,0.0001131347536525392,0.0009848699241046465,0.0014041162618098244,True
END_DISTRICT_Wong Tai Sin,0.001091169219859605,0.00011999437604466239,0.0008580340658860501,0.0013397169453673835,True
START_DISTRICT_Wong Tai Sin,0.001005930221237189,0.00010761428547916386,0.0008388010797199179,0.0012384067241912986,True
START_DISTRICT_Sham Shui Po,0.0008917261435064081,0.00011493179607257226,0.0006993034476837953,0.0011102292592041173,True
END_DISTRICT_Sham Shui Po,0.0007951607350732874,9.225040216048012e-05,0.0006155112191730903,0.0009665036843125672,True
COMPANY_CODE_LWB+CTB,7.089809516764754e-05,8.863025256661303e-06,5.536651153532539e-05,8.994587789872836e-05,True
